State,elapsedMs,turnNumber,activePlayer
80, 42309 , 5, 1
80, 42309 , 5, 1
79, 42309 , 5, 1
79, 42309 , 5, 1
78, 42309 , 5, 1
78, 42309 , 5, 1
77, 42309 , 5, 1
77, 42309 , 5, 1
75, 42309 , 4, 2
75, 42309 , 4, 2
74, 42309 , 4, 2
74, 42309 , 4, 2
73, 42309 , 4, 2
73, 42309 , 4, 2
72, 42309 , 4, 2
72, 42309 , 4, 2
71, 42309 , 4, 2
71, 42309 , 4, 2
70, 42309 , 4, 2
70, 42309 , 4, 2
69, 42309 , 4, 2
69, 42309 , 4, 2
68, 42309 , 4, 2
68, 42309 , 4, 2
67, 42309 , 4, 2
67, 42309 , 4, 2
66, 42309 , 4, 2
66, 42309 , 4, 2
65, 42309 , 4, 2
65, 42309 , 4, 2
64, 42309 , 4, 2
64, 42309 , 4, 2
63, 42309 , 4, 2
63, 42309 , 4, 2
81, 63878 , 5, 1
81, 63878 , 5, 1
84, 63879 , 5, 1
84, 63879 , 5, 1
83, 63879 , 5, 1
83, 63879 , 5, 1
82, 63879 , 5, 1
82, 63879 , 5, 1
81, 63879 , 5, 1
81, 63879 , 5, 1
86, 64971 , 5, 1
86, 64971 , 5, 1
87, 65504 , 5, 1
87, 65504 , 5, 1
88, 13639 , 5, 1
88, 13639 , 5, 1
87, 13639 , 5, 1
87, 13639 , 5, 1
89, 65505 , 5, 1
89, 65505 , 5, 1
89, 15405 , 5, 1
89, 15405 , 5, 1
90, 66577 , 5, 1
90, 66577 , 5, 1
95, 66578 , 5, 1
95, 66578 , 5, 1
94, 66578 , 5, 1
94, 66578 , 5, 1
93, 66578 , 5, 1
93, 66578 , 5, 1
92, 66578 , 5, 1
92, 66578 , 5, 1
90, 66578 , 5, 1
90, 66578 , 5, 1
106, 15406 , 6, 2
106, 15406 , 6, 2
105, 15406 , 6, 2
105, 15406 , 6, 2
104, 15406 , 6, 2
104, 15406 , 6, 2
103, 15406 , 6, 2
103, 15406 , 6, 2
101, 15406 , 5, 1
101, 15406 , 5, 1
100, 15406 , 5, 1
100, 15406 , 5, 1
99, 15406 , 5, 1
99, 15406 , 5, 1
98, 15406 , 5, 1
98, 15406 , 5, 1
97, 15406 , 5, 1
97, 15406 , 5, 1
116, 27885 , 6, 2
116, 27885 , 6, 2
115, 27885 , 6, 2
115, 27885 , 6, 2
114, 27885 , 6, 2
114, 27885 , 6, 2
113, 27885 , 6, 2
113, 27885 , 6, 2
112, 27885 , 6, 2
112, 27885 , 6, 2
111, 27885 , 6, 2
111, 27885 , 6, 2
110, 27885 , 6, 2
110, 27885 , 6, 2
109, 27885 , 6, 2
109, 27885 , 6, 2
129, 68179 , 7, 1
129, 68179 , 7, 1
128, 68179 , 7, 1
128, 68179 , 7, 1
127, 68179 , 7, 1
127, 68179 , 7, 1
126, 68179 , 7, 1
126, 68179 , 7, 1
124, 68179 , 6, 2
124, 68179 , 6, 2
123, 68179 , 6, 2
123, 68179 , 6, 2
122, 68179 , 6, 2
122, 68179 , 6, 2
121, 68179 , 6, 2
121, 68179 , 6, 2
120, 68179 , 6, 2
120, 68179 , 6, 2
119, 68179 , 6, 2
119, 68179 , 6, 2
118, 68179 , 6, 2
118, 68179 , 6, 2
141, 84635 , 7, 1
141, 84635 , 7, 1
140, 84635 , 7, 1
140, 84635 , 7, 1
139, 84635 , 7, 1
139, 84635 , 7, 1
137, 84635 , 7, 1
137, 84635 , 7, 1
135, 84635 , 7, 1
135, 84635 , 7, 1
143, 96356 , 7, 1
143, 96356 , 7, 1
146, 96357 , 7, 1
146, 96357 , 7, 1
145, 96357 , 7, 1
145, 96357 , 7, 1
144, 96357 , 7, 1
144, 96357 , 7, 1
143, 96357 , 7, 1
143, 96357 , 7, 1
148, 96829 , 7, 1
148, 96829 , 7, 1
150, 34021 , 7, 1
150, 34021 , 7, 1
149, 34021 , 7, 1
149, 34021 , 7, 1
148, 34021 , 7, 1
148, 34021 , 7, 1
158, 96830 , 7, 1
158, 96830 , 7, 1
157, 96830 , 7, 1
157, 96830 , 7, 1
156, 96830 , 7, 1
156, 96830 , 7, 1
155, 96830 , 7, 1
155, 96830 , 7, 1
153, 96830 , 7, 1
153, 96830 , 7, 1
159, 100003 , 7, 1
159, 100003 , 7, 1
166, 40249 , 8, 2
166, 40249 , 8, 2
165, 40249 , 8, 2
165, 40249 , 8, 2
164, 40249 , 8, 2
164, 40249 , 8, 2
163, 40249 , 8, 2
163, 40249 , 8, 2
161, 40249 , 7, 1
161, 40249 , 7, 1
160, 40249 , 7, 1
160, 40249 , 7, 1
159, 40249 , 7, 1
159, 40249 , 7, 1
170, 47221 , 8, 2
170, 47221 , 8, 2
169, 47221 , 8, 2
169, 47221 , 8, 2
181, 51089 , 8, 2
181, 51089 , 8, 2
180, 51089 , 8, 2
180, 51089 , 8, 2
179, 51089 , 8, 2
179, 51089 , 8, 2
178, 51089 , 8, 2
178, 51089 , 8, 2
177, 51089 , 8, 2
177, 51089 , 8, 2
176, 51089 , 8, 2
176, 51089 , 8, 2
175, 51089 , 8, 2
175, 51089 , 8, 2
174, 51089 , 8, 2
174, 51089 , 8, 2
173, 51089 , 8, 2
173, 51089 , 8, 2
172, 51089 , 8, 2
172, 51089 , 8, 2
183, 57751 , 8, 2
183, 57751 , 8, 2
199, 100006 , 9, 1
199, 100006 , 9, 1
198, 100006 , 9, 1
198, 100006 , 9, 1
197, 100006 , 9, 1
197, 100006 , 9, 1
196, 100006 , 9, 1
196, 100006 , 9, 1
194, 100006 , 8, 2
194, 100006 , 8, 2
193, 100006 , 8, 2
193, 100006 , 8, 2
192, 100006 , 8, 2
192, 100006 , 8, 2
191, 100006 , 8, 2
191, 100006 , 8, 2
190, 100006 , 8, 2
190, 100006 , 8, 2
189, 100006 , 8, 2
189, 100006 , 8, 2
188, 100006 , 8, 2
188, 100006 , 8, 2
186, 100006 , 8, 2
186, 100006 , 8, 2
185, 100006 , 8, 2
185, 100006 , 8, 2
184, 100006 , 8, 2
184, 100006 , 8, 2
183, 100006 , 8, 2
183, 100006 , 8, 2
201, 125483 , 9, 1
201, 125483 , 9, 1
204, 125484 , 9, 1
204, 125484 , 9, 1
203, 125484 , 9, 1
203, 125484 , 9, 1
202, 125484 , 9, 1
202, 125484 , 9, 1
201, 125484 , 9, 1
201, 125484 , 9, 1
206, 126857 , 9, 1
206, 126857 , 9, 1
208, 57752 , 9, 1
208, 57752 , 9, 1
207, 57752 , 9, 1
207, 57752 , 9, 1
206, 57752 , 9, 1
206, 57752 , 9, 1
215, 126858 , 9, 1
215, 126858 , 9, 1
214, 126858 , 9, 1
214, 126858 , 9, 1
213, 126858 , 9, 1
213, 126858 , 9, 1
212, 126858 , 9, 1
212, 126858 , 9, 1
210, 126858 , 9, 1
210, 126858 , 9, 1
219, 129842 , 9, 1
219, 129842 , 9, 1
218, 129842 , 9, 1
218, 129842 , 9, 1
217, 129842 , 9, 1
217, 129842 , 9, 1
236, 61542 , 10, 2
236, 61542 , 10, 2
235, 61542 , 10, 2
235, 61542 , 10, 2
234, 61542 , 10, 2
234, 61542 , 10, 2
233, 61542 , 10, 2
233, 61542 , 10, 2
231, 61542 , 9, 1
231, 61542 , 9, 1
230, 61542 , 9, 1
230, 61542 , 9, 1
229, 61542 , 9, 1
229, 61542 , 9, 1
228, 61542 , 9, 1
228, 61542 , 9, 1
227, 61542 , 9, 1
227, 61542 , 9, 1
225, 61542 , 9, 1
225, 61542 , 9, 1
223, 61542 , 9, 1
223, 61542 , 9, 1
240, 70066 , 10, 2
240, 70066 , 10, 2
239, 70066 , 10, 2
239, 70066 , 10, 2
249, 80175 , 10, 2
249, 80175 , 10, 2
248, 80175 , 10, 2
248, 80175 , 10, 2
247, 80175 , 10, 2
247, 80175 , 10, 2
246, 80175 , 10, 2
246, 80175 , 10, 2
245, 80175 , 10, 2
245, 80175 , 10, 2
244, 80175 , 10, 2
244, 80175 , 10, 2
243, 80175 , 10, 2
243, 80175 , 10, 2
242, 80175 , 10, 2
242, 80175 , 10, 2
262, 136985 , 11, 1
262, 136985 , 11, 1
261, 136985 , 11, 1
261, 136985 , 11, 1
260, 136985 , 11, 1
260, 136985 , 11, 1
259, 136985 , 11, 1
259, 136985 , 11, 1
257, 136985 , 10, 2
257, 136985 , 10, 2
256, 136985 , 10, 2
256, 136985 , 10, 2
255, 136985 , 10, 2
255, 136985 , 10, 2
254, 136985 , 10, 2
254, 136985 , 10, 2
253, 136985 , 10, 2
253, 136985 , 10, 2
252, 136985 , 10, 2
252, 136985 , 10, 2
251, 136985 , 10, 2
251, 136985 , 10, 2
269, 164784 , 11, 1
269, 164784 , 11, 1
268, 164784 , 11, 1
268, 164784 , 11, 1
267, 164784 , 11, 1
267, 164784 , 11, 1
266, 164784 , 11, 1
266, 164784 , 11, 1
265, 164784 , 11, 1
265, 164784 , 11, 1
264, 164784 , 11, 1
264, 164784 , 11, 1
269, 169149 , 11, 1
282, 85974 , 12, 2
282, 85974 , 12, 2
281, 85974 , 12, 2
281, 85974 , 12, 2
280, 85974 , 12, 2
280, 85974 , 12, 2
279, 85974 , 12, 2
279, 85974 , 12, 2
277, 85974 , 11, 1
277, 85974 , 11, 1
276, 85974 , 11, 1
276, 85974 , 11, 1
275, 85974 , 11, 1
275, 85974 , 11, 1
274, 85974 , 11, 1
274, 85974 , 11, 1
273, 85974 , 11, 1
273, 85974 , 11, 1
272, 85974 , 11, 1
272, 85974 , 11, 1
271, 85974 , 11, 1
271, 85974 , 11, 1
269, 85974 , 11, 1
286, 93389 , 12, 2
286, 93389 , 12, 2
285, 93389 , 12, 2
285, 93389 , 12, 2
291, 115644 , 12, 2
291, 115644 , 12, 2
290, 115644 , 12, 2
290, 115644 , 12, 2
294, 120756 , 12, 2
294, 120756 , 12, 2
293, 120756 , 12, 2
293, 120756 , 12, 2
297, 124810 , 12, 2
297, 124810 , 12, 2
296, 124810 , 12, 2
296, 124810 , 12, 2
298, 128820 , 12, 2
298, 128820 , 12, 2
303, 128821 , 12, 2
303, 128821 , 12, 2
302, 128821 , 12, 2
302, 128821 , 12, 2
301, 128821 , 12, 2
301, 128821 , 12, 2
300, 128821 , 12, 2
300, 128821 , 12, 2
299, 128821 , 12, 2
299, 128821 , 12, 2
298, 128821 , 12, 2
298, 128821 , 12, 2
308, 140333 , 12, 2
308, 140333 , 12, 2
312, 142706 , 12, 2
312, 142706 , 12, 2
311, 142706 , 12, 2
311, 142706 , 12, 2
313, 144470 , 12, 2
313, 144470 , 12, 2
314, 169150 , 12, 2
314, 169150 , 12, 2
313, 169150 , 12, 2
313, 169150 , 12, 2
316, 177355 , 12, 2
316, 177355 , 12, 2
316, 144472 , 12, 2
316, 144472 , 12, 2
324, 151185 , 12, 2
324, 151185 , 12, 2
323, 151185 , 12, 2
323, 151185 , 12, 2
322, 151185 , 12, 2
322, 151185 , 12, 2
321, 151185 , 12, 2
321, 151185 , 12, 2
337, 177356 , 13, 1
337, 177356 , 13, 1
336, 177356 , 13, 1
336, 177356 , 13, 1
335, 177356 , 13, 1
335, 177356 , 13, 1
334, 177356 , 13, 1
334, 177356 , 13, 1
332, 177356 , 12, 2
332, 177356 , 12, 2
331, 177356 , 12, 2
331, 177356 , 12, 2
330, 177356 , 12, 2
330, 177356 , 12, 2
329, 177356 , 12, 2
329, 177356 , 12, 2
328, 177356 , 12, 2
328, 177356 , 12, 2
327, 177356 , 12, 2
327, 177356 , 12, 2
326, 177356 , 12, 2
326, 177356 , 12, 2
339, 210137 , 13, 1
339, 210137 , 13, 1
342, 210139 , 13, 1
342, 210139 , 13, 1
341, 210139 , 13, 1
341, 210139 , 13, 1
340, 210139 , 13, 1
340, 210139 , 13, 1
339, 210139 , 13, 1
339, 210139 , 13, 1
344, 213129 , 13, 1
344, 213129 , 13, 1
346, 152836 , 13, 1
346, 152836 , 13, 1
345, 152836 , 13, 1
345, 152836 , 13, 1
344, 152836 , 13, 1
344, 152836 , 13, 1
355, 213130 , 13, 1
355, 213130 , 13, 1
354, 213130 , 13, 1
354, 213130 , 13, 1
353, 213130 , 13, 1
353, 213130 , 13, 1
352, 213130 , 13, 1
352, 213130 , 13, 1
351, 213130 , 13, 1
351, 213130 , 13, 1
350, 213130 , 13, 1
350, 213130 , 13, 1
