globalTime,priorityPlayer,timerID,elapsedMs
47456531547,1,14,51089
47456531547,2,14,51089
47456531547,1,14,51089
47456531547,2,14,51089
47456531547,1,14,51089
47456531547,2,14,51089
47456531547,1,14,51089
47456531547,2,14,51089
47456531547,1,14,51089
47456531547,2,14,51089
47456538309,2,14,57751
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456538309,2,7,100006
47456538309,1,7,100006
47456563812,2,7,125483
47456563812,2,7,125484
47456563812,1,7,125484
47456563812,2,7,125484
47456563812,1,7,125484
47456565203,1,7,126857
47456565203,1,14,57752
47456565203,2,14,57752
47456565203,1,14,57752
47456569021,2,7,126858
47456569021,2,7,126858
47456569021,1,7,126858
47456569021,2,7,126858
47456569021,1,7,126858
47456572061,2,7,129842
47456572061,1,7,129842
47456572061,2,7,129842
47456579304,2,14,61542
47456579304,2,14,61542
47456579304,2,14,61542
47456579304,1,14,61542
47456579304,2,14,61542
47456579304,1,14,61542
47456579304,2,14,61542
47456579304,1,14,61542
47456579304,2,14,61542
47456579304,1,14,61542
47456579304,2,14,61542
47456587922,1,14,70066
47456587922,2,14,70066
47456598108,1,14,80175
47456598108,2,14,80175
47456598108,1,14,80175
47456598108,2,14,80175
47456598108,1,14,80175
47456598108,2,14,80175
47456598108,1,14,80175
47456598108,2,14,80175
47456603959,1,7,136985
47456603959,2,7,136985
47456603959,1,7,136985
47456603959,2,7,136985
47456603959,1,7,136985
47456603959,2,7,136985
47456603959,1,7,136985
47456603959,2,7,136985
47456603959,1,7,136985
47456603959,2,7,136985
47456603959,1,7,136985
47456631824,2,7,164784
47456631824,1,7,164784
47456631824,2,7,164784
47456631824,1,7,164784
47456631824,2,7,164784
47456631824,1,7,164784
47456636246,1,7,169149
47456636246,1,14,85974
47456636246,2,14,85974
47456636246,1,14,85974
47456636246,2,14,85974
47456636246,1,14,85974
47456636246,2,14,85974
47456636246,1,14,85974
47456636246,2,14,85974
47456636246,1,14,85974
47456636246,2,14,85974
47456636246,1,14,85974
47456636246,2,14,85974
47456643739,1,14,93389
47456643739,2,14,93389
47456666048,1,14,115644
47456666048,2,14,115644
47456671206,1,14,120756
47456671206,2,14,120756
47456675291,1,14,124810
47456675291,2,14,124810
47456679331,1,14,128820
47456679331,1,14,128821
47456679331,2,14,128821
47456679331,1,14,128821
47456679331,2,14,128821
47456679331,1,14,128821
47456679331,2,14,128821
47456690859,2,14,140333
47456693250,1,14,142706
47456693250,2,14,142706
47456695022,1,14,144470
47456695022,1,7,169150
47456695022,2,7,169150
47456703234,2,7,177355
47456703234,2,14,144472
47456710009,1,14,151185
47456710009,2,14,151185
47456710009,1,14,151185
47456710009,2,14,151185
47456711741,1,7,177356
47456711741,2,7,177356
47456711741,1,7,177356
47456711741,2,7,177356
47456711741,1,7,177356
47456711741,2,7,177356
47456711741,1,7,177356
47456711741,2,7,177356
47456711741,1,7,177356
47456711741,2,7,177356
47456711741,1,7,177356
47456744555,2,7,210137
47456744555,2,7,210139
47456744555,1,7,210139
47456744555,2,7,210139
47456744555,1,7,210139
47456747564,1,7,213129
47456747564,1,14,152836
47456747564,2,14,152836
47456747564,1,14,152836
47456753274,2,7,213130
47456753274,1,7,213130
47456753274,2,7,213130
47456753274,1,7,213130
47456753274,2,7,213130
47456753274,1,7,213130
